iot.id,name,description,Datastreams
666044a8a81c7312ce348711,AC-BN-04-B-C02,บางกอกพัฒนา-CAM2,
666044a99efb8d1af6b3f9cd,AC-BN-04-B-C03,บางกอกพัฒนา-CAM3,
666044a99efb8d1af6b3f9d0,AC-BN-04-B-C04,บางกอกพัฒนา-CAM4,
666045019efb8d1af6b3fb5f,AC-PK-08-A-C01,วิทยาลัยพณิชยการบางนา-CAM1,
666045029efb8d1af6b3fb68,AC-PK-08-A-C03,วิทยาลัยพณิชยการบางนา-CAM3,
66604502a81c7312ce34888b,AC-PK-08-A-C02,วิทยาลัยพณิชยการบางนา-CAM2,
666045039efb8d1af6b3fb6c,AC-PK-08-B-C010,วิทยาลัยพณิชยการบางนา-CAM10,
66604503a9ff45d3521c4282,AC-PK-08-A-C04,วิทยาลัยพณิชยการบางนา-CAM4,
666045049efb8d1af6b3fb72,AC-PK-08-B-C012,วิทยาลัยพณิชยการบางนา-CAM12,
66604504a81c7312ce348890,AC-PK-08-B-C011,วิทยาลัยพณิชยการบางนา-CAM11,
66604505a81c7312ce348898,AC-PT-06-A-C01,โรงเรียนฝึกอาชีพกรุงเทพมหานคร (บ่อนไก่)-CAM1,
66604505a9ff45d3521c428d,AC-PK-08-B-C9,วิทยาลัยพณิชยการบางนา-CAM9,
66604506a81c7312ce34889a,AC-PT-06-A-C02,โรงเรียนฝึกอาชีพกรุงเทพมหานคร (บ่อนไก่)-CAM2,
66604506a9ff45d3521c4296,AC-PT-06-A-C03,โรงเรียนฝึกอาชีพกรุงเทพมหานคร (บ่อนไก่)-CAM3,
66604507a9ff45d3521c4299,AC-PT-06-A-C04,โรงเรียนฝึกอาชีพกรุงเทพมหานคร (บ่อนไก่)-CAM4,
66604507a9ff45d3521c429e,AC-PT-06-B-C01,โรงเรียนฝึกอาชีพกรุงเทพมหานคร (บ่อนไก่)-CAM1,
666045089efb8d1af6b3fb86,AC-PT-06-B-C03,โรงเรียนฝึกอาชีพกรุงเทพมหานคร (บ่อนไก่)-CAM3,
66604508a9ff45d3521c42a0,AC-PT-06-B-C02,โรงเรียนฝึกอาชีพกรุงเทพมหานคร (บ่อนไก่)-CAM2,
666045099efb8d1af6b3fb89,AC-PT-06-B-C04,โรงเรียนฝึกอาชีพกรุงเทพมหานคร (บ่อนไก่)-CAM4,
66604509a9ff45d3521c42a8,AC-PT-08-A-C01,สถาบันเทคโนโลยีปทุมวัน-CAM1,
6660450a9efb8d1af6b3fb90,AC-PT-08-A-C02,สถาบันเทคโนโลยีปทุมวัน-CAM2,
6660450aa9ff45d3521c42ab,AC-PT-08-A-C03,สถาบันเทคโนโลยีปทุมวัน-CAM3,
6660450ba81c7312ce3488ac,AC-PT-08-B-C01,สถาบันเทคโนโลยีปทุมวัน-CAM1,
6660450ba9ff45d3521c42b0,AC-PT-08-A-C04,สถาบันเทคโนโลยีปทุมวัน-CAM4,
6660450ca81c7312ce3488ae,AC-PT-08-B-C02,สถาบันเทคโนโลยีปทุมวัน-CAM2,
6660450ca81c7312ce3488b3,AC-PT-08-B-C03,สถาบันเทคโนโลยีปทุมวัน-CAM3,
6660450d9efb8d1af6b3fb9f,AC-SL-01-A-C01,เกษมบัณฑิต-CAM1,
6660450da9ff45d3521c42bd,AC-PT-08-B-C04,สถาบันเทคโนโลยีปทุมวัน-CAM4,
6660450e9efb8d1af6b3fba2,AC-SL-01-A-C02,เกษมบัณฑิต-CAM2,
6660450e9efb8d1af6b3fba7,AC-SL-01-A-C04,เกษมบัณฑิต-CAM4,
6660450ea81c7312ce3488bb,AC-SL-01-A-C03,เกษมบัณฑิต-CAM3,
6660450f9efb8d1af6b3fbab,AC-SL-01-B-C01,เกษมบัณฑิต-CAM1,
6660450f9efb8d1af6b3fbad,AC-SL-01-B-C02,เกษมบัณฑิต-CAM2,
666045109efb8d1af6b3fbb0,AC-SL-01-B-C03,เกษมบัณฑิต-CAM3,
66604510a81c7312ce3488c4,AC-SL-01-B-C04,เกษมบัณฑิต-CAM4,
666045119efb8d1af6b3fbb5,AC-SL-03-A-C02,เตรียมอุดมศึกษาพัฒนาการ-CAM2,
66604511a81c7312ce3488c6,AC-SL-03-A-C01,เตรียมอุดมศึกษาพัฒนาการ-CAM1,
666045139efb8d1af6b3fbb9,AC-SL-03-A-C04,เตรียมอุดมศึกษาพัฒนาการ-CAM4,
66604513a9ff45d3521c42df,AC-SL-03-A-C03,เตรียมอุดมศึกษาพัฒนาการ-CAM3,
66604514a9ff45d3521c42e5,AC-SL-09-A-C01,สถาบันเทคโนโลยีไทย-ญี่ปุ่น-CAM1,
66604515a9ff45d3521c42e8,AC-SL-09-A-C02,สถาบันเทคโนโลยีไทย-ญี่ปุ่น-CAM2,
6660451a9efb8d1af6b3fbc1,AC-SL-09-A-C03,สถาบันเทคโนโลยีไทย-ญี่ปุ่น-CAM3,
6660451aa9ff45d3521c42eb,AC-SL-09-A-C04,สถาบันเทคโนโลยีไทย-ญี่ปุ่น-CAM4,
