CAMERA_NAME,Status,File,Found_Sensor_Name
CM3-KW-002-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-002-C01
CM3-KW-002-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-002-C01
CM3-KW-002-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-002-C02
CM3-KW-002-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-002-C02
CM3-KW-002-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-002-C03
CM3-KW-002-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-002-C03
CM3-KW-005-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-005-C01
CM3-KW-005-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-005-C01
CM3-KW-005-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-005-C02
CM3-KW-005-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-005-C02
CM3-KW-005-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-005-C03
CM3-KW-005-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-005-C03
CM3-KW-028-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-028-C01
CM3-KW-028-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-028-C01
CM3-KW-028-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-028-C02
CM3-KW-028-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-028-C02
CM3-KW-028-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-028-C03
CM3-KW-028-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-028-C03
CM3-KW-029-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-029-C01
CM3-KW-029-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-029-C01
CM3-KW-029-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-029-C02
CM3-KW-029-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-029-C02
CM3-KW-029-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-029-C03
CM3-KW-029-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-029-C03
CM3-KW-052-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-052-C01
CM3-KW-052-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-052-C01
CM3-KW-052-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-052-C02
CM3-KW-052-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-052-C02
CM3-KW-052-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-052-C03
CM3-KW-052-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-052-C03
CM3-KW-067-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-067-C01
CM3-KW-067-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-067-C01
CM3-KW-067-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-067-C02
CM3-KW-067-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-067-C02
CM3-KW-067-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-067-C03
CM3-KW-067-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-067-C03
CM3-KW-115-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-115-C01
CM3-KW-115-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-115-C01
CM3-KW-115-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-115-C02
CM3-KW-115-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-115-C02
