CAMERA_NAME,Status,File,Found_Sensor_Name
CM3-KW-115-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-115-C03
CM3-KW-115-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KW-115-C03
CM3-NY-013-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-NY-013-C01
CM3-NY-013-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-NY-013-C01
CM3-NY-013-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-NY-013-C02
CM3-NY-013-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-NY-013-C02
CM3-NY-013-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-NY-013-C03
CM3-NY-013-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-NY-013-C03
CM3-NY-033-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-NY-033-C01
CM3-NY-033-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-NY-033-C01
CM3-NY-033-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-NY-033-C02
CM3-NY-033-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-NY-033-C02
CM3-NY-033-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-NY-033-C03
CM3-NY-033-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-NY-033-C03
